order,trial,item_code,images_shown,image_left,image_right
e1,T01,c2_o1,L.banana_R.giraffe,ban,gir
e1,T02,n1_o2,L.monkey_R.butterfly,mon,but
e1,T03,n3_o2,L.window_R.mouth,win,mou
e1,T04,c1_o2,L.chocolate_R.bowl,cho,bow
e1,T05,n3_o1,L.mouth_R.window,mou,win
e1,T06,c3_o2,L.table_R.pizza,tab,piz
e1,T07,c2_o1,L.banana_R.giraffe,ban,gir
e1,T08,n2_o1,L.cookie_R.foot,coo,foo
e1,T09,c3_o1,L.pizza_R.table,piz,tab
e1,T10,n1_o1,L.butterfly_R.monkey,but,mon
e1,T11,c1_o2,L.chocolate_R.bowl,cho,bow
e1,T12,n2_o2,L.foot_R.cookie,foo,coo
e1,T13,n3_o1,L.mouth_R.window,mou,win
e1,T14,n1_o1,L.butterfly_R.monkey,but,mon
e1,T15,c3_o2,L.table_R.pizza,tab,piz
e1,T16,n2_o2,L.foot_R.cookie,foo,coo
e1,T17,c1_o1,L.bowl_R.chocolate,bow,cho
e1,T18,c2_o2,L.giraffe_R.banana,gir,ban
e1,T19,c3_o1,L.pizza_R.table,piz,tab
e1,T20,n2_o1,L.cookie_R.foot,coo,foo
e1,T21,n3_o2,L.window_R.mouth,win,mou
e1,T22,c1_o1,L.bowl_R.chocolate,bow,cho
e1,T23,n1_o2,L.monkey_R.butterfly,mon,but
e1,T24,c2_o2,L.giraffe_R.banana,gir,ban
e2,T01,c2_o1,L.banana_R.giraffe,ban,gir
e2,T02,n1_o2,L.monkey_R.butterfly,mon,but
e2,T03,n3_o2,L.window_R.mouth,win,mou
e2,T04,c1_o2,L.chocolate_R.bowl,cho,bow
e2,T05,n3_o1,L.mouth_R.window,mou,win
e2,T06,c3_o2,L.table_R.pizza,tab,piz
e2,T07,c2_o1,L.banana_R.giraffe,ban,gir
e2,T08,n2_o1,L.cookie_R.foot,coo,foo
e2,T09,c3_o1,L.pizza_R.table,piz,tab
e2,T10,n1_o1,L.butterfly_R.monkey,but,mon
e2,T11,c1_o2,L.chocolate_R.bowl,cho,bow
e2,T12,n2_o2,L.foot_R.cookie,foo,coo
e2,T13,n3_o1,L.mouth_R.window,mou,win
e2,T14,n1_o1,L.butterfly_R.monkey,but,mon
e2,T15,c3_o2,L.table_R.pizza,tab,piz
e2,T16,n2_o2,L.foot_R.cookie,foo,coo
e2,T17,c1_o1,L.bowl_R.chocolate,bow,cho
e2,T18,c2_o2,L.giraffe_R.banana,gir,ban
e2,T19,c3_o1,L.pizza_R.table,piz,tab
e2,T20,n2_o1,L.cookie_R.foot,coo,foo
e2,T21,n3_o2,L.window_R.mouth,win,mou
e2,T22,c1_o1,L.bowl_R.chocolate,bow,cho
e2,T23,n1_o2,L.monkey_R.butterfly,mon,but
e2,T24,c2_o2,L.giraffe_R.banana,gir,ban
e3,T01,n2_o1,L.cookie_R.foot,coo,foo
e3,T02,c1_o2,L.chocolate_R.bowl,cho,bow
e3,T03,c3_o2,L.table_R.pizza,tab,piz
e3,T04,n1_o2,L.monkey_R.butterfly,mon,but
e3,T05,c3_o1,L.pizza_R.table,piz,tab
e3,T06,n3_o2,L.window_R.mouth,win,mou
e3,T07,n2_o1,L.cookie_R.foot,coo,foo
e3,T08,c2_o1,L.banana_R.giraffe,ban,gir
e3,T09,n3_o1,L.mouth_R.window,mou,win
e3,T10,c1_o1,L.bowl_R.chocolate,bow,cho
e3,T11,n1_o2,L.monkey_R.butterfly,mon,but
e3,T12,c2_o2,L.giraffe_R.banana,gir,ban
e3,T13,c3_o1,L.pizza_R.table,piz,tab
e3,T14,c1_o1,L.bowl_R.chocolate,bow,cho
e3,T15,n3_o2,L.window_R.mouth,win,mou
e3,T16,c2_o2,L.giraffe_R.banana,gir,ban
e3,T17,n1_o1,L.butterfly_R.monkey,but,mon
e3,T18,n2_o2,L.foot_R.cookie,foo,coo
e3,T19,n3_o1,L.mouth_R.window,mou,win
e3,T20,c2_o1,L.banana_R.giraffe,ban,gir
e3,T21,c3_o2,L.table_R.pizza,tab,piz
e3,T22,n1_o1,L.butterfly_R.monkey,but,mon
e3,T23,c1_o2,L.chocolate_R.bowl,cho,bow
e3,T24,n2_o2,L.foot_R.cookie,foo,coo
e4,T01,n2_o1,L.cookie_R.foot,coo,foo
e4,T02,c1_o2,L.chocolate_R.bowl,cho,bow
e4,T03,c3_o2,L.table_R.pizza,tab,piz
e4,T04,n1_o2,L.monkey_R.butterfly,mon,but
e4,T05,c3_o1,L.pizza_R.table,piz,tab
e4,T06,n3_o2,L.window_R.mouth,win,mou
e4,T07,n2_o1,L.cookie_R.foot,coo,foo
e4,T08,c2_o1,L.banana_R.giraffe,ban,gir
e4,T09,n3_o1,L.mouth_R.window,mou,win
e4,T10,c1_o1,L.bowl_R.chocolate,bow,cho
e4,T11,n1_o2,L.monkey_R.butterfly,mon,but
e4,T12,c2_o2,L.giraffe_R.banana,gir,ban
e4,T13,c3_o1,L.pizza_R.table,piz,tab
e4,T14,c1_o1,L.bowl_R.chocolate,bow,cho
e4,T15,n3_o2,L.window_R.mouth,win,mou
e4,T16,c2_o2,L.giraffe_R.banana,gir,ban
e4,T17,n1_o1,L.butterfly_R.monkey,but,mon
e4,T18,n2_o2,L.foot_R.cookie,foo,coo
e4,T19,n3_o1,L.mouth_R.window,mou,win
e4,T20,c2_o1,L.banana_R.giraffe,ban,gir
e4,T21,c3_o2,L.table_R.pizza,tab,piz
e4,T22,n1_o1,L.butterfly_R.monkey,but,mon
e4,T23,c1_o2,L.chocolate_R.bowl,cho,bow
e4,T24,n2_o2,L.foot_R.cookie,foo,coo
