study_name,comments,part_id,language,item,known
CogMisp24,NA,P55,en,banana,1
CogMisp24,NA,P55,en,bowl,1
CogMisp24,NA,P55,en,butterfly,1
CogMisp24,NA,P55,en,chocolate,0
CogMisp24,NA,P55,en,cookie,1
CogMisp24,NA,P55,en,foot,1
CogMisp24,NA,P55,en,giraffe,1
CogMisp24,NA,P55,en,monkey,1
CogMisp24,NA,P55,en,mouth,1
CogMisp24,NA,P55,en,pizza,1
CogMisp24,NA,P55,en,table,1
CogMisp24,NA,P55,en,window,0
CogMisp24,NA,P55,fr,banane,1
CogMisp24,NA,P55,fr,bol,1
CogMisp24,NA,P55,fr,papillon,1
CogMisp24,NA,P55,fr,chocolat,0
CogMisp24,NA,P55,fr,biscuit,0
CogMisp24,NA,P55,fr,pied,1
CogMisp24,NA,P55,fr,girafe,1
CogMisp24,NA,P55,fr,singe,1
CogMisp24,NA,P55,fr,bouche,1
CogMisp24,NA,P55,fr,pizza,1
CogMisp24,NA,P55,fr,table,1
CogMisp24,NA,P55,fr,fenetre,0
CogMisp24,NA,P15,en,banana,1
CogMisp24,NA,P15,en,bowl,1
CogMisp24,NA,P15,en,butterfly,1
CogMisp24,NA,P15,en,chocolate,1
CogMisp24,NA,P15,en,cookie,1
CogMisp24,NA,P15,en,foot,1
CogMisp24,NA,P15,en,giraffe,1
CogMisp24,NA,P15,en,monkey,1
CogMisp24,NA,P15,en,mouth,1
CogMisp24,NA,P15,en,pizza,1
CogMisp24,NA,P15,en,table,1
CogMisp24,NA,P15,en,window,1
CogMisp24,NA,P15,fr,banane,1
CogMisp24,NA,P15,fr,bol,1
CogMisp24,NA,P15,fr,papillon,1
CogMisp24,NA,P15,fr,chocolat,1
CogMisp24,NA,P15,fr,biscuit,1
CogMisp24,NA,P15,fr,pied,1
CogMisp24,NA,P15,fr,girafe,1
CogMisp24,NA,P15,fr,singe,1
CogMisp24,NA,P15,fr,bouche,1
CogMisp24,NA,P15,fr,pizza,1
CogMisp24,NA,P15,fr,table,1
CogMisp24,NA,P15,fr,fenetre,1
CogMisp24,NA,P48,en,banana,1
CogMisp24,NA,P48,en,bowl,1
CogMisp24,NA,P48,en,butterfly,1
CogMisp24,NA,P48,en,chocolate,1
CogMisp24,NA,P48,en,cookie,1
CogMisp24,NA,P48,en,foot,1
CogMisp24,NA,P48,en,giraffe,0
CogMisp24,NA,P48,en,monkey,1
CogMisp24,NA,P48,en,mouth,1
CogMisp24,NA,P48,en,pizza,1
CogMisp24,NA,P48,en,table,1
CogMisp24,NA,P48,en,window,1
CogMisp24,NA,P48,fr,banane,1
CogMisp24,NA,P48,fr,bol,1
CogMisp24,NA,P48,fr,papillon,0
CogMisp24,NA,P48,fr,chocolat,1
CogMisp24,NA,P48,fr,biscuit,0
CogMisp24,NA,P48,fr,pied,1
CogMisp24,NA,P48,fr,girafe,0
CogMisp24,NA,P48,fr,singe,1
CogMisp24,NA,P48,fr,bouche,1
CogMisp24,NA,P48,fr,pizza,1
CogMisp24,NA,P48,fr,table,1
CogMisp24,NA,P48,fr,fenetre,1
CogMisp24,NA,P13,en,banana,1
CogMisp24,NA,P13,en,bowl,1
CogMisp24,NA,P13,en,butterfly,1
CogMisp24,NA,P13,en,chocolate,1
CogMisp24,NA,P13,en,cookie,1
CogMisp24,NA,P13,en,foot,1
CogMisp24,NA,P13,en,giraffe,1
CogMisp24,NA,P13,en,monkey,1
CogMisp24,NA,P13,en,mouth,1
CogMisp24,NA,P13,en,pizza,1
CogMisp24,NA,P13,en,table,1
CogMisp24,NA,P13,en,window,1
CogMisp24,NA,P13,fr,banane,1
CogMisp24,NA,P13,fr,bol,1
CogMisp24,NA,P13,fr,papillon,1
CogMisp24,NA,P13,fr,chocolat,1
CogMisp24,NA,P13,fr,biscuit,1
CogMisp24,NA,P13,fr,pied,1
CogMisp24,NA,P13,fr,girafe,1
CogMisp24,NA,P13,fr,singe,1
CogMisp24,NA,P13,fr,bouche,1
CogMisp24,NA,P13,fr,pizza,1
CogMisp24,NA,P13,fr,table,1
CogMisp24,NA,P13,fr,fenetre,1
CogMisp24,NA,P25,en,banana,1
CogMisp24,NA,P25,en,bowl,1
CogMisp24,NA,P25,en,butterfly,1
CogMisp24,NA,P25,en,chocolate,1
CogMisp24,NA,P25,en,cookie,1
CogMisp24,NA,P25,en,foot,1
CogMisp24,NA,P25,en,giraffe,1
CogMisp24,NA,P25,en,monkey,1
